new_market,date_created,new_type,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7
market_1,2022-02-04,type_5,199,21,6,11,7,14,5,6
market_1,2022-01-30,type_1,19,2,0,2,1,0,0,0
market_1,2022-02-14,type_1,29,0,2,2,0,1,0,1
market_1,2022-01-16,type_2,120,6,6,5,4,7,4,null
market_1,2022-02-03,type_5,182,27,13,null,14,4,3,2
market_1,2022-03-08,type_4,3,null,null,null,null,null,null,1
market_1,2022-03-05,type_4,2,1,null,1,null,null,null,null
market_1,2022-02-01,type_2,262,14,8,7,3,2,3,8
market_1,2022-01-04,type_3,15,2,3,1,null,null,1,2
market_1,2022-02-10,type_2,258,11,10,4,7,7,7,5
market_1,2022-01-11,type_5,263,28,9,13,8,5,12,8
market_1,2022-01-22,type_3,6,null,null,1,3,2,null,1
market_1,2022-02-02,type_4,2,null,null,null,null,null,null,null
market_1,2022-03-26,type_5,206,24,11,20,11,7,5,7
market_1,2022-02-13,type_1,26,0,0,0,1,0,0,0
market_1,2022-01-10,type_1,44,3,1,1,2,0,4,0
market_1,2022-03-14,type_1,23,4,5,1,0,0,0,3
market_1,2022-02-26,type_1,18,2,1,1,0,3,0,0
market_1,2022-02-10,type_3,21,null,1,null,null,1,2,1
market_1,2022-02-17,type_3,9,3,null,1,2,null,null,null
market_1,2022-01-30,type_5,133,12,6,10,5,8,4,3
market_1,2022-01-04,type_1,44,4,4,3,0,1,3,2
market_1,2022-01-05,type_4,4,null,null,null,null,null,null,null
market_1,2022-03-21,type_5,211,29,27,9,13,9,11,10
market_1,2022-01-29,type_2,130,5,10,5,10,8,3,6
market_1,2022-02-11,type_1,37,0,0,1,0,2,0,0
market_1,2022-01-20,type_1,22,2,6,3,1,0,0,0
market_1,2022-03-22,type_2,503,23,25,13,11,3,18,14
market_1,2022-03-18,type_3,19,2,1,4,null,2,2,null
market_1,2022-03-09,type_2,306,19,12,8,4,7,7,9
market_1,2022-02-04,type_1,24,1,0,0,2,2,0,4
market_1,2022-01-14,type_4,5,null,null,null,null,null,null,null
market_1,2022-01-08,type_2,112,5,8,4,3,6,4,5
market_1,2022-01-15,type_1,32,3,2,0,1,2,0,0
market_1,2022-02-17,type_5,157,10,3,6,3,4,5,8
market_1,2022-01-05,type_3,17,3,1,null,1,null,1,null
market_1,2022-01-10,type_2,240,7,8,13,7,2,4,2
market_1,2022-03-13,type_5,145,21,8,7,2,5,7,5
market_1,2022-01-27,type_1,23,4,1,1,1,0,0,0
market_1,2022-03-17,type_1,32,3,1,0,0,0,0,1
market_1,2022-02-19,type_3,8,3,1,2,null,1,null,null
market_1,2022-01-26,type_3,21,2,2,1,4,4,null,1
market_1,2022-01-11,type_4,2,null,null,null,null,1,null,null
market_1,2022-01-21,type_3,11,3,1,3,3,null,null,1
market_1,2022-02-23,type_2,295,3,11,5,7,14,4,6
market_1,2022-02-19,type_4,null,1,null,null,null,null,null,null
market_1,2022-01-26,type_2,249,19,7,3,1,9,5,4
market_1,2022-01-25,type_4,2,null,null,null,null,null,null,null
market_1,2022-01-23,type_1,20,1,2,0,1,1,1,2
market_1,2022-03-03,type_5,213,25,13,11,9,7,4,9
market_1,2022-02-02,type_1,28,1,0,0,3,2,1,0
market_1,2022-02-14,type_5,196,20,13,4,4,1,6,4
market_1,2022-03-12,type_4,1,null,1,1,1,null,null,null
market_1,2022-03-27,type_4,2,null,1,null,1,null,null,null
market_1,2022-02-08,type_1,31,3,1,2,1,0,1,0
market_1,2022-02-28,type_5,250,29,19,15,4,14,10,9
market_1,2022-01-20,type_3,11,4,2,null,2,1,1,null
market_1,2022-02-20,type_1,12,2,1,0,0,1,0,1
market_1,2022-03-11,type_2,346,11,7,8,6,6,7,3
market_1,2022-01-23,type_2,95,2,7,2,4,7,4,2
market_1,2022-02-25,type_4,3,null,null,null,null,null,null,null
market_1,2022-01-20,type_5,216,27,8,2,11,3,7,6
market_1,2022-01-25,type_1,24,0,2,5,1,2,0,1
market_1,2022-02-11,type_4,5,null,null,null,null,1,null,null
market_1,2022-03-28,type_4,5,null,null,null,1,null,null,null
market_1,2022-03-31,type_2,391,11,5,10,15,8,6,3
market_1,2022-02-12,type_4,null,null,null,null,null,null,null,null
market_1,2022-02-22,type_4,9,null,null,null,1,null,1,1
market_1,2022-01-15,type_4,3,null,null,null,1,null,null,null
market_1,2022-03-18,type_2,266,13,10,12,16,10,6,5
market_1,2022-01-21,type_2,226,8,6,6,7,4,4,3
market_1,2022-01-19,type_1,25,4,0,3,1,1,0,0
market_1,2022-02-08,type_4,6,null,null,null,null,null,null,null
market_1,2022-03-13,type_4,2,2,null,1,null,null,null,null
market_1,2022-01-29,type_5,172,9,13,8,6,7,3,7
market_1,2022-01-11,type_1,28,6,0,1,3,0,0,3
market_1,2022-01-02,type_1,39,2,2,2,0,2,2,2
market_1,2022-03-13,type_1,36,3,0,2,0,0,1,0
market_1,2022-03-01,type_1,19,0,4,0,2,1,0,2
market_1,2022-01-07,type_1,45,6,3,2,4,2,2,0
market_1,2022-02-22,type_3,15,4,1,null,1,2,1,1
market_1,2022-02-10,type_1,31,8,0,0,1,1,2,2
market_1,2022-01-05,type_2,280,5,9,2,6,7,3,7
market_1,2022-01-21,type_5,227,18,7,13,6,12,7,5
market_1,2022-03-15,type_1,24,7,1,1,0,0,0,1
market_1,2022-02-07,type_5,208,26,11,8,7,10,6,12
market_1,2022-02-12,type_5,178,17,13,5,3,2,1,2
market_1,2022-03-19,type_5,152,17,9,11,11,7,3,1
market_1,2022-02-24,type_5,181,20,10,4,8,9,13,3
market_1,2022-02-24,type_2,276,19,4,6,6,9,2,7
market_1,2022-02-05,type_2,164,8,7,1,2,4,7,3
market_1,2022-01-02,type_4,1,null,null,null,null,null,null,null
market_1,2022-02-26,type_4,1,1,null,null,null,null,null,null
market_1,2022-02-19,type_5,150,15,13,6,1,7,9,3
market_1,2022-03-28,type_5,190,27,10,12,6,7,3,3
market_1,2022-03-27,type_1,22,1,2,0,0,0,3,2
market_1,2022-02-05,type_5,152,16,10,9,7,7,4,7
market_1,2022-01-30,type_3,9,4,4,null,null,null,null,null
market_1,2022-02-08,type_2,217,12,10,4,3,5,13,4
market_1,2022-01-06,type_5,214,27,16,12,15,12,6,6
market_1,2022-02-25,type_2,278,17,12,15,9,4,5,5
market_1,2022-03-12,type_2,232,9,12,3,5,1,5,3
market_1,2022-02-16,type_3,18,null,4,2,1,1,null,null
market_1,2022-02-18,type_4,2,null,null,null,1,null,null,null
market_1,2022-01-12,type_3,19,3,1,null,null,null,1,3
market_1,2022-03-02,type_1,16,4,0,2,1,0,2,0
market_1,2022-01-11,type_2,261,13,12,6,4,2,13,5
market_1,2022-02-19,type_2,150,8,6,7,3,3,3,2
market_1,2022-01-29,type_4,null,null,null,null,null,null,null,null
market_1,2022-01-18,type_3,15,1,1,3,1,null,3,null
market_1,2022-02-26,type_2,198,9,6,12,5,11,6,7
market_1,2022-02-27,type_2,141,13,3,2,3,1,3,4
market_1,2022-02-25,type_5,183,22,14,12,8,14,4,1
